student
id;date_of_birth;email;emso;gender;name;phone_number;place_of_birth;register_number;sending_address;surname;tax_number;id_address1;id_address2;id_citizenship;id_country_of_birth;id_municipality_of_birth;id_study_program;id_login
1;1996-01-01;janez@nov.ak;0101996500005;M;Janez;+386 666 666;Ljubljana;63130001;1;Novak;12345678;1;NULL;705;705;61;NULL;5
2;1994-12-31;peter@kopljem.net;3112994500019;M;Peter;+386 123 123;Novo mesto;63180002;2;Kramp;12345679;2;3;705;705;85;NULL;6
3;1996-05-12;marta@pod.streho;1205996505019;Ž;Marta;NULL;NULL;63130002;1;Strešnik;12345670;4;NULL;643;643;NULL;NULL;7
4;1991-02-02;steff@stef.anio;0202991500008;M;Štefan;005318008;Ljubljana;63130003;1;Čolnar;12345667;5;5;705;705;61;NULL;8
5;NULL;blazkablatnik@gmail.com;NULL;;Blažka;NULL;NULL;63180001;NULL;Blatnik;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6;NULL;szore.fake@gmail.com;NULL;-;Simon;NULL;NULL;63180003;1;Zore;NULL;NULL;NULL;NULL;NULL;NULL;1000468;9
7;NULL;jdoe.fake@gmail.com;NULL;-;John;NULL;NULL;63180004;1;Doe;NULL;NULL;NULL;NULL;NULL;NULL;1000468;10
8;NULL;mjelenc.fake@gmail.com;NULL;-;Marko;NULL;NULL;63180005;1;Jelenc;NULL;NULL;NULL;NULL;NULL;NULL;1000468;11
9;NULL;lhribar.fake@gmail.com;NULL;-;Luka;NULL;NULL;63180006;1;Hribar;NULL;NULL;NULL;NULL;NULL;NULL;1000468;12
10;NULL;zrink.fake@gmail.com;NULL;-;Žan;NULL;NULL;63180007;1;Rink;NULL;NULL;NULL;NULL;NULL;NULL;1000468;13
11;1996-02-10;tzupanc.fake@gmail.com;1002996505169;Ž;Teja;+386 12 123 123;Ljubljana;63180008;1;Zupanc;12345678;1;NULL;705;705;61;1000468;14
13;NULL;nkos.fake@gmail.com;NULL;-;Nik;NULL;NULL;63180010;1;Kos;NULL;NULL;NULL;NULL;NULL;NULL;1000468;16
14;NULL;clukavcic.fake@gmail.com;NULL;-;Cene;NULL;NULL;63180011;1;Lukavčič;NULL;NULL;NULL;NULL;NULL;NULL;1000468;17
15;NULL;ipri.fake@gmail.com;NULL;-;Imenko;NULL;NULL;63180012;1;Priimkovič;NULL;NULL;NULL;NULL;NULL;NULL;1000468;18
16;NULL;jjakomin.fake@gmail.com;NULL;-;Jaka;NULL;NULL;63180013;1;Jakomin;NULL;NULL;NULL;NULL;NULL;NULL;1000468;19
